# version = 29.1.1, Request ID = WFC3UVIS.sp.1486058
# HAT-P-23, Vmag = 11.94, exptime = 237s, Teff = 6000K
wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
8892.0000,0,3.2113,121.09,6248.5,6372.8
8906.0000,0,3.2113,121.09,6198.4,6322.7
8920.0000,0,3.2113,121.09,6087.9,6212.2
8934.0000,0,3.2113,121.09,5978.2,6102.5
8948.0000,0,3.2113,121.09,5921.6,6045.9
8962.0000,0,3.2113,121.09,5855.4,5979.7
8976.0000,0,3.2113,121.09,5783.6,5907.9
8990.0000,0,3.2113,121.09,5680.8,5805.1
9004.0000,0,3.2113,121.09,5406.2,5530.5
9018.0000,0,3.2113,121.09,5325.8,5450.1
9032.0000,0,3.2113,121.09,5392.4,5516.7
9046.0000,0,3.2113,121.09,5406.5,5530.8
9060.0000,0,3.2113,121.09,5319.8,5444.1
9074.0000,0,3.2113,121.09,5184,5308.3
9088.0000,0,3.2113,121.09,5048.8,5173.1
9102.0000,0,3.2113,121.09,5007.5,5131.8
9116.0000,0,3.2113,121.09,4993.1,5117.4
9130.0000,0,3.2113,121.09,4971.7,5096
9144.0000,0,3.2113,121.09,4897,5021.3
9158.0000,0,3.2113,121.09,4815.8,4940.1
9172.0000,0,3.2113,121.09,4740.6,4864.9
9186.0000,0,3.2113,121.09,4680.5,4804.8
9200.0000,0,3.2113,121.09,4560,4684.3
9214.0000,0,3.2113,121.09,4390.2,4514.5
9228.0000,0,3.2113,121.09,4199.7,4324
9242.0000,0,3.2113,121.09,4187.3,4311.6
9256.0000,0,3.2113,121.09,4201.8,4326.1
9270.0000,0,3.2113,121.09,4182.1,4306.4
9284.0000,0,3.2113,121.09,4135.5,4259.8
9298.0000,0,3.2113,121.09,4079.8,4204.1
9312.0000,0,3.2113,121.09,4019,4143.3
9326.0000,0,3.2113,121.09,3939.8,4064.1
9340.0000,0,3.2113,121.09,3863.8,3988.1
9354.0000,0,3.2113,121.09,3789.8,3914.1
9368.0000,0,3.2113,121.09,3715.7,3840
9382.0000,0,3.2113,121.09,3644.3,3768.6
9396.0000,0,3.2113,121.09,3533.7,3658
9410.0000,0,3.2113,121.09,3389.4,3513.7
9424.0000,0,3.2113,121.09,3363.7,3488
9438.0000,0,3.2113,121.09,3310.5,3434.8
9452.0000,0,3.2113,121.09,3232.7,3357
9466.0000,0,3.2113,121.09,3189.2,3313.5
9480.0000,0,3.2113,121.09,3130.3,3254.6
9494.0000,0,3.2113,121.09,2950.2,3074.5
9508.0000,0,3.2113,121.09,0,124.3
9522.0000,0,3.2113,121.09,0,124.3
9536.0000,0,3.2113,121.09,0,124.3
9550.0000,0,3.2113,121.09,0,124.3
9564.0000,0,3.2113,121.09,0,124.3
9578.0000,0,3.2113,121.09,0,124.3
9592.0000,0,3.2113,121.09,0,124.3
9606.0000,0,3.2113,121.09,0,124.3
9620.0000,0,3.2113,121.09,0,124.3
9634.0000,0,3.2113,121.09,0,124.3
9648.0000,0,3.2113,121.09,0,124.3
9662.0000,0,3.2113,121.09,0,124.3
9676.0000,0,3.2113,121.09,0,124.3
9690.0000,0,3.2113,121.09,0,124.3
9704.0000,0,3.2113,121.09,0,124.3
9718.0000,0,3.2113,121.09,0,124.3
9732.0000,0,3.2113,121.09,0,124.3
9746.0000,0,3.2113,121.09,0,124.3
9760.0000,0,3.2113,121.09,0,124.3
9774.0000,0,3.2113,121.09,0,124.3
9788.0000,0,3.2113,121.09,0,124.3
9802.0000,0,3.2113,121.09,0,124.3
